Day,r
2002/8/1,0.007949
2002/9/1,-0.099923
2002/10/1,0.07494
2002/11/1,0.061282
2002/12/1,-0.053334
2003/1/1,-0.023367
2003/2/1,-0.015417
2003/3/1,0.010321
2003/4/1,0.082768
2003/5/1,0.063471
2003/6/1,0.016346
2003/7/1,0.023112
2003/8/1,0.024965
2003/9/1,-0.00912
2003/10/1,0.060361
2003/11/1,0.016594
2003/12/1,0.045476
2004/1/1,0.023042
2004/2/1,0.015443
2004/3/1,-0.010662
2004/4/1,-0.024222
2004/5/1,0.014068
2004/6/1,0.021611
2004/7/1,-0.037698
2004/8/1,0.002703
2004/9/1,0.020556
2004/10/1,0.017806
2004/11/1,0.048214
2004/12/1,0.03517
2005/1/1,-0.026546
2005/2/1,0.022646
2005/3/1,-0.016944
2005/4/1,-0.025206
2005/5/1,0.037954
2005/6/1,0.011529
2005/7/1,0.043357
2005/8/1,-0.005958
2005/9/1,0.0106
2005/10/1,-0.020866
2005/11/1,0.040326
2005/12/1,0.003458
2006/1/1,0.040072
2006/2/1,-0.001639
2006/3/1,0.019065
2006/4/1,0.012999
2006/5/1,-0.031026
2006/6/1,-0.000374
2006/7/1,-0.001906
2006/8/1,0.025056
2006/9/1,0.019444
2006/10/1,0.037125
2006/11/1,0.023755
2006/12/1,0.01085
2007/1/1,0.019386
2007/2/1,-0.014023
2007/3/1,0.012955
2007/4/1,0.039864
2007/5/1,0.038937
2007/6/1,-0.014717
2007/7/1,-0.03176
2007/8/1,0.011588
2007/9/1,0.040875
2007/10/1,0.025923
2007/11/1,-0.049415
2007/12/1,-0.004288
2008/1/1,-0.062356
2008/2/1,-0.022002
2008/3/1,-0.010401
2008/4/1,0.051221
2008/5/1,0.023992
2008/6/1,-0.078606
2008/7/1,-0.013285
2008/8/1,0.011155
2008/9/1,-0.098318
2008/10/1,-0.184868
2008/11/1,-0.085405
2008/12/1,0.021629
2009/1/1,-0.077633
2009/2/1,-0.101076
2009/3/1,0.087789
2009/4/1,0.110657
2009/5/1,0.067336
2009/6/1,-0.002681
2009/7/1,0.082547
2009/8/1,0.031998
2009/9/1,0.045295
2009/10/1,-0.028492
2009/11/1,0.057365
2009/12/1,0.02922
2010/1/1,-0.037197
2010/2/1,0.035324
2010/3/1,0.064493
2010/4/1,0.020269
2010/5/1,-0.080029
2010/6/1,-0.05205
2010/7/1,0.071217
2010/8/1,-0.043909
2010/9/1,0.092625
2010/10/1,0.03902
2010/11/1,0.00562
2010/12/1,0.067911
2011/1/1,0.020235
2011/2/1,0.038646
2011/3/1,0.002869
2011/4/1,0.028151
2011/5/1,-0.014681
2011/6/1,-0.018536
2011/7/1,-0.023595
2011/8/1,-0.058632
2011/9/1,-0.084419
2011/10/1,0.115519
2011/11/1,-0.006179
2011/12/1,0.004856
2012/1/1,0.05397
2012/2/1,0.042064
2012/3/1,0.025306
2012/4/1,-0.006855
2012/5/1,-0.065899
2012/6/1,0.038476
2012/7/1,0.010375
2012/8/1,0.026644
2012/9/1,0.026586
2012/10/1,-0.014328
2012/11/1,0.006256
2012/12/1,0.012355
2013/1/1,0.055856
2013/2/1,0.009126
2013/3/1,0.036332
2013/4/1,0.015282
2013/5/1,0.021002
2013/6/1,-0.014302
2013/7/1,0.053532
2013/8/1,-0.026081
2013/9/1,0.037676
2013/10/1,0.04046
2013/11/1,0.025943
2013/12/1,0.026929
2014/1/1,-0.030092
2014/2/1,0.046472
2014/3/1,0.004575
2014/4/1,0.001407
2014/5/1,0.020539
2014/6/1,0.028292
2014/7/1,-0.020704
2014/8/1,0.041016
2014/9/1,-0.024776
2014/10/1,0.021431
2014/11/1,0.02175
2014/12/1,-0.003325
2015/1/1,-0.028454
2015/2/1,0.057119
2015/3/1,-0.010504
2015/4/1,0.008592
2015/5/1,0.010735
2015/6/1,-0.019165
2015/7/1,0.012777
2015/8/1,-0.060433
2015/9/1,-0.034271
2015/10/1,0.075022
2015/11/1,0.002673
2015/12/1,-0.022286
2016/1/1,-0.058175
2016/2/1,0.000678
2016/3/1,0.071243
2016/4/1,0.011615
2016/5/1,0.015057
2016/6/1,0.002266
2016/7/1,0.039319
2016/8/1,0.003164
2016/9/1,0.002917
2016/10/1,-0.021681
2016/11/1,0.04263
2016/12/1,0.018966
2017/1/1,0.022336
2017/2/1,0.033241
2017/3/1,0.001911
2017/4/1,0.009677
2017/5/1,0.009309
2017/6/1,0.009825
2017/7/1,0.020376
2017/8/1,0.001488
2017/9/1,0.024192
2017/10/1,0.019546
2017/11/1,0.027873
2017/12/1,0.012083
2018/1/1,0.051348
2018/2/1,-0.039484
2018/3/1,-0.019197
2018/4/1,0.004923
2018/5/1,0.027215
2018/6/1,0.006041
2018/7/1,0.032083
2018/8/1,0.03153
2018/9/1,0.000501
2018/10/1,-0.074757
2018/11/1,0.018613
2018/12/1,-0.091659
2019/1/1,0.089342
2019/2/1,0.033401
2019/3/1,0.013176
2019/4/1,0.03875
2019/5/1,-0.06252
2019/6/1,0.067923
2019/7/1,0.012354
2019/8/1,-0.020849
2019/9/1,0.016067
2019/10/1,0.019237
2019/11/1,0.03613
2019/12/1,0.028425
2020/1/1,-0.001066
